date,respiration_brpm,rest_heart_bpm,max_heart_bpm
2022-01-26,14,45,165
2022-01-27,13,46,102
2022-01-28,14,45,127
2022-01-29,13,44,104
2022-01-30,13,39,169
2022-01-31,13,43,115
2022-02-01,14,43,118
2022-02-02,13,46,166
2022-02-03,13,43,159
2022-02-04,14,50,168
2022-02-05,19,54,109
2022-02-06,15,47,103
2022-02-07,15,50,107
2022-02-08,15,54,109
2022-02-09,14,47,109
2022-02-10,14,44,111
2022-02-11,13,40,141
2022-02-12,14,42,129
2022-02-13,14,42,156
2022-02-14,14,45,112
2022-02-15,14,45,135
2022-02-16,13,46,106
2022-02-17,13,43,170
2022-02-18,13,45,132
2022-02-19,13,47,124
2022-02-20,14,45,97
2022-02-21,14,45,168
2022-02-22,14,44,109
2022-02-23,14,44,105
2022-02-24,14,44,166
2022-02-25,14,45,124
2022-02-26,15,42,103
2022-02-27,13,44,131
2022-02-28,13,42,108
2022-03-01,13,42,166
2022-03-02,13,45,118
2022-03-03,13,44,132
2022-03-04,13,42,115
2022-03-05,15,43,165
2022-03-06,13,41,119
2022-03-07,13,43,108
2022-03-08,13,43,161
2022-03-09,14,46,111
2022-03-10,14,42,121
2022-03-11,14,43,161
2022-03-12,13,40,120
2022-03-13,13,41,116
2022-03-14,13,41,107
2022-03-15,13,43,109
2022-03-16,14,48,132
2022-03-17,13,45,110
2022-03-18,14,45,106
2022-03-19,13,47,184
2022-03-20,13,45,98
2022-03-21,14,44,111
2022-03-22,13,43,174
2022-03-23,14,45,106
2022-03-24,13,46,108
2022-03-25,14,43,176
2022-03-26,13,42,107
2022-03-27,13,42,106
2022-03-28,13,43,103
2022-03-29,14,43,110
2022-03-30,14,43,112
2022-03-31,13,43,133
2022-04-01,13,44,104
2022-04-02,13,43,115
2022-04-03,13,43,118
2022-04-04,13,45,93
2022-04-05,13,43,157
2022-04-06,13,46,122
2022-04-07,13,46,110
2022-04-08,13,46,157
2022-04-09,13,45,107
2022-04-10,14,46,102
2022-04-11,13,43,168
2022-04-12,13,45,106
2022-04-13,13,44,102,
2022-04-14,14,44,123
2022-04-15,13,45,118
2022-04-16,13,43,110
2022-04-17,14,45,175
2022-04-18,13,43,109
2022-04-19,13,43,173
2022-04-20,13,44,114
2022-04-21,13,45,116
2022-04-22,13,45,117
2022-04-23,13,45,108
2022-04-24,14,42,117
2022-04-25,14,41,106
2022-04-26,13,40,108
2022-04-27,13,42,124
2022-04-28,13,43,99
2022-04-29,13,41,172
2022-04-30,13,46,97
2022-05-01,13,45,100
2022-05-02,13,44,169
2022-05-03,14,44,104
2022-05-04,14,43,175
2022-05-05,12,47,99
2022-05-06,13,42,175
2022-05-07,13,44,100
2022-05-08,14,42,109
2022-05-09,13,42,111
2022-05-10,13,44,103
2022-05-11,14,41,157
2022-05-12,14,46,102
2022-05-13,13,41,102
2022-05-14,13,41,179
2022-05-15,13,46,123
2022-05-16,13,44,117
2022-05-17,13,43,108
2022-05-18,14,42,176
2022-05-19,13,43,114
2022-05-20,13,42,127
2022-05-21,13,45,182
2022-05-22,13,43,123
2022-05-23,13,41,134
2022-05-24,13,41,113
2022-05-25,14,43,112
2022-05-26,13,
2022-05-27,14
2022-05-28,13
2022-05-29,14
2022-05-30,13
2022-05-31,13
2022-06-01,13
2022-06-02,14
2022-06-03,13
2022-06-04,13
2022-06-05,14
2022-06-06,13
2022-06-07,13
2022-06-08,13
2022-06-09,14
2022-06-10,13
2022-06-11,13
2022-06-12,13
2022-06-13,13
2022-06-14,13
2022-06-15,13
2022-06-16,13
2022-06-17,14
2022-06-18,14
2022-06-19,14
2022-06-20,14
2022-06-21,13
2022-06-22,14
2022-06-23,14
2022-06-24,13
2022-06-25,14
2022-06-26,20
2022-06-27,15
2022-06-28,14
2022-06-29,14
2022-06-30,14
2022-07-01,15
2022-07-02,14
2022-07-03,14
2022-07-04,13
2022-07-05,14
2022-07-06,13
2022-07-07,13
2022-07-08,13
2022-07-09,13
2022-07-10,13
2022-07-11,13
2022-07-12,14
2022-07-13,14
2022-07-14,14
2022-07-15,13
2022-07-16,14
2022-07-17,13
2022-07-18,13
2022-07-19,13
2022-07-20,13
2022-07-21,14
2022-07-22,13
2022-07-23,13
2022-07-24,13
2022-07-25,14
2022-07-26,13
2022-07-27,13
2022-07-28,13
2022-07-29,14
2022-07-30,13
2022-07-31,14
2022-08-01,13
2022-08-02,13
2022-08-03,13
2022-08-04,13
2022-08-05,14
2022-08-06,13
2022-08-07,14
2022-08-08,13
2022-08-09,14
2022-08-10,13
2022-08-11,14
2022-08-12,14
2022-08-13,14
2022-08-14,14
2022-08-15,14
2022-08-16,14
2022-08-17,13
2022-08-18,14
2022-08-19,13
2022-08-20,13
2022-08-21,14
2022-08-22,14
2022-08-23,14
2022-08-24,13
2022-08-25,13
2022-08-26,14
2022-08-27,13
2022-08-28,13
2022-08-29,14
2022-08-30,14
2022-08-31,14
2022-09-01,13
2022-09-02,13
2022-09-03,13
2022-09-04,13
2022-09-05,14
2022-09-06,14
2022-09-07,13
2022-09-08,14
2022-09-09,14
2022-09-10,13
2022-09-11,14
2022-09-12,13
2022-09-13,13
2022-09-14,13
2022-09-15,14
2022-09-16,13
2022-09-17,13
2022-09-18,13
2022-09-19,13
2022-09-20,14
2022-09-21,14
2022-09-22,13
2022-09-23,14
2022-09-24,14
2022-09-25,13
2022-09-26,14
2022-09-27,14
2022-09-28,13
2022-09-29,14
2022-09-30,13
2022-10-01,15
2022-10-02,14
2022-10-03,14
2022-10-04,14
2022-10-05,13
2022-10-06,14
2022-10-07,13
2022-10-08,13
2022-10-09,13
2022-10-10,13
2022-10-11,13
2022-10-12,13
2022-10-13,13
2022-10-14,13
2022-10-15,13
2022-10-16,13
2022-10-17,13
2022-10-18,13
2022-10-19,14
2022-10-20,13
2022-10-21,13
2022-10-22,14
2022-10-23,14
2022-10-24,13
2022-10-25,14
2022-10-26,14
2022-10-27,13
2022-10-28,14
2022-10-29,14
2022-10-30,14
2022-10-31,14
2022-11-01,14
2022-11-02,13
2022-11-03,13
2022-11-04,13
2022-11-05,14
2022-11-06,13
2022-11-07,14
2022-11-08,14
2022-11-09,14
2022-11-10,13
2022-11-11,14
2022-11-12,14
2022-11-13,13
2022-11-14,14
2022-11-15,13
2022-11-16,14
2022-11-17,14
2022-11-18,14
2022-11-19,13
2022-11-20,14
2022-11-21,13
2022-11-22,14
2022-11-23,14
2022-11-24,14
2022-11-25,14
2022-11-26,13
2022-11-27,13
2022-11-28,14
2022-11-29,13
2022-11-30,13
2022-12-01,13
2022-12-02,13
2022-12-03,13
2022-12-04,13
2022-12-05,14
2022-12-06,14
2022-12-07,14
2022-12-08,14
2022-12-09,13
2022-12-10,14
2022-12-11,13
2022-12-12,14
2022-12-13,14
2022-12-14,14
2022-12-15,14
2022-12-16,14
2022-12-17,14
2022-12-18,14
2022-12-19,14
2022-12-20,14
2022-12-21,14
2022-12-22,14
2022-12-23,13
2022-12-24,14
2022-12-25,13
2022-12-26,14
2022-12-27,14
2022-12-28,14
2022-12-29,14
2022-12-30,14
2022-12-31,13
2023-01-01,14
2023-01-02,14
2023-01-03,13
2023-01-04,14
2023-01-05,13
2023-01-06,14
2023-01-07,13
2023-01-08,14
2023-01-09,14
2023-01-10,14
2023-01-11,14
2023-01-12,14
2023-01-13,14
2023-01-14,14
2023-01-15,14
2023-01-16,13
2023-01-17,14
2023-01-18,14
2023-01-19,15
2023-01-20,15
2023-01-21,14
2023-01-22,14
2023-01-23,14
2023-01-24,14
2023-01-25,14
2023-01-26,14
2023-01-27,14
2023-01-28,14
2023-01-29,14
2023-01-30,14
2023-01-31,14
2023-02-01,13
2023-02-02,14
2023-02-03,14
2023-02-04,14
2023-02-05,13
2023-02-06,14
2023-02-07,13
2023-02-08,13
2023-02-09,14
2023-02-10,14
2023-02-11,13
2023-02-12,13
2023-02-13,14
2023-02-14,13
2023-02-15,13
2023-02-16,13
2023-02-17,13
2023-02-18,14
2023-02-19,14
2023-02-20,14
2023-02-21,13
2023-02-22,14
2023-02-23,13
2023-02-24,14
2023-02-25,14
2023-02-26,13
2023-02-27,14
2023-02-28,14
2023-03-01,14
2023-03-02,13
2023-03-03,13
2023-03-04,13
2023-03-05,14
2023-03-06,13
2023-03-07,13
2023-03-08,13
2023-03-09,14
2023-03-10,13
2023-03-11,13
2023-03-12,14
2023-03-13,13
2023-03-14,14
2023-03-15,14
2023-03-16,14
2023-03-17,13
2023-03-18,14
2023-03-19,14
2023-03-20,13
2023-03-21,14
2023-03-22,14
2023-03-23,13
2023-03-24,14
2023-03-25,14
2023-03-26,13
2023-03-27,14
2023-03-28,14
2023-03-29,14
2023-03-30,14
2023-03-31,14
2023-04-01,14
2023-04-02,14
2023-04-03,14
2023-04-04,14
2023-04-05,14
2023-04-06,14
2023-04-07,14
2023-04-08,14
2023-04-09,14
2023-04-10,14
2023-04-11,14
2023-04-12,13
2023-04-13,13
2023-04-14,13
2023-04-15,14
2023-04-16,14
2023-04-17,14
2023-04-18,14
2023-04-19,13
2023-04-20,14
2023-04-21,14
2023-04-22,14
2023-04-23,13
2023-04-24,14
2023-04-25,14
2023-04-26,13
2023-04-27,14
2023-04-28,13
2023-04-29,14
2023-04-30,14
2023-05-01,14
2023-05-02,13
2023-05-03,14
2023-05-04,14
2023-05-05,14
2023-05-06,13
2023-05-07,14
2023-05-08,14
2023-05-09,14
2023-05-10,13
2023-05-11,14
2023-05-12,14
2023-05-13,14
2023-05-14,14
2023-05-15,13
2023-05-16,13
2023-05-17,14
2023-05-18,13
2023-05-19,13
2023-05-20,13
2023-05-21,13
2023-05-22,13
2023-05-23,14
2023-05-24,19
2023-05-25,15
2023-05-26,13
2023-05-27,13
2023-05-28,14
2023-05-29,14
2023-05-30,14
2023-05-31,13
2023-06-01,13
2023-06-02,14
2023-06-03,13
2023-06-04,13
2023-06-05,14
2023-06-06,14
2023-06-07,13
2023-06-08,13
2023-06-09,14
2023-06-10,14
2023-06-11,14
2023-06-12,14
2023-06-13,14
2023-06-14,14
2023-06-15,14
2023-06-16,13
2023-06-17,14
2023-06-18,14
2023-06-19,14
2023-06-20,14
2023-06-21,13
2023-06-22,13
2023-06-23,13
2023-06-24,13
2023-06-25,13
2023-06-26,14
2023-06-27,14
2023-06-28,13
2023-06-29,14
2023-06-30,13
2023-07-01,14
2023-07-02,14
2023-07-03,14
2023-07-04,14
2023-07-05,14
2023-07-06,13
2023-07-07,14
2023-07-08,13
2023-07-09,13
2023-07-10,14
2023-07-11,13
2023-07-12,13
2023-07-13,14
2023-07-14,13
2023-07-15,14
2023-07-16,14
2023-07-17,14
2023-07-18,13
2023-07-19,13
2023-07-20,13
2023-07-21,14
2023-07-22,14
2023-07-23,13
2023-07-24,14
2023-07-25,14
2023-07-26,14
2023-07-27,13
2023-07-28,14
2023-07-29,14
2023-07-30,13
2023-07-31,14
2023-08-01,13
2023-08-02,14
2023-08-03,14
2023-08-04,13
2023-08-05,13
2023-08-06,14
2023-08-07,14
2023-08-08,14
2023-08-09,13
2023-08-10,13
2023-08-11,14
2023-08-12,13
2023-08-13,13
2023-08-14,14
2023-08-15,14
2023-08-16,14
2023-08-17,14
2023-08-18,13
2023-08-19,13
2023-08-20,14
2023-08-21,13
2023-08-22,14
2023-08-23,14
2023-08-24,14
2023-08-25,14
2023-08-26,14
2023-08-27,14
2023-08-28,14
2023-08-29,13
2023-08-30,13
2023-08-31,13
2023-09-01,14
2023-09-02,13
2023-09-03,13
2023-09-04,13
2023-09-05,13
2023-09-06,13
2023-09-07,14
2023-09-08,14
2023-09-09,14
2023-09-10,15
2023-09-11,14
2023-09-12,14
2023-09-13,14
2023-09-14,14
2023-09-15,15
2023-09-16,14
2023-09-17,14
2023-09-18,13
2023-09-19,13
2023-09-20,13
2023-09-21,13
2023-09-22,14
2023-09-23,13
2023-09-24,13
2023-09-25,14
2023-09-26,13
2023-09-27,14
2023-09-28,13
2023-09-29,14
2023-09-30,13
2023-10-01,13
2023-10-02,14
2023-10-03,14
2023-10-04,13
2023-10-05,13
2023-10-06,13
2023-10-07,14
2023-10-08,13
2023-10-09,13
2023-10-10,13
2023-10-11,13
2023-10-12,13
2023-10-13,13
2023-10-14,13
2023-10-15,13
2023-10-16,14
2023-10-17,14
2023-10-18,14
2023-10-19,14
2023-10-20,14
2023-10-21,14
2023-10-22,13
2023-10-23,14
2023-10-24,14
2023-10-25,14
2023-10-26,14
2023-10-27,13
2023-10-28,14
2023-10-29,14
2023-10-30,14
2023-10-31,13
2023-11-01,14
2023-11-02,14
2023-11-03,13
2023-11-04,13
2023-11-05,13
2023-11-06,14
2023-11-07,13
2023-11-08,13
2023-11-09,13
2023-11-10,13
2023-11-11,13
2023-11-12,13
2023-11-13,13
2023-11-14,13
2023-11-15,13
2023-11-16,13
2023-11-17,14
2023-11-18,14
2023-11-19,13
2023-11-20,14
2023-11-21,14
2023-11-22,13
2023-11-23,13
2023-11-24,13
2023-11-25,13
2023-11-26,13
2023-11-27,13
2023-11-28,13
2023-11-29,13
2023-11-30,13
2023-12-01,13
2023-12-02,14
2023-12-03,13
2023-12-04,13
2023-12-05,13
2023-12-06,14
2023-12-07,13
2023-12-08,14
2023-12-09,14
2023-12-10,14
2023-12-11,14
2023-12-12,16
2023-12-13,16
2023-12-14,14
2023-12-15,14
2023-12-16,15
2023-12-17,14
2023-12-18,14
2023-12-19,14
2023-12-20,14
2023-12-21,14
2023-12-22,13
2023-12-23,14
2023-12-24,14
2023-12-25,14
2023-12-26,13
2023-12-27,14
2023-12-28,14
2023-12-29,14
2023-12-30,14
2023-12-31,13
2024-01-01,14
2024-01-02,14
2024-01-03,14
# covid in London
2024-01-04,19
2024-01-05,20
2024-01-06,17
2024-01-07,15
2024-01-08,15
2024-01-09,15
2024-01-10,14
2024-01-11,15
2024-01-12,14
2024-01-13,14
2024-01-14,14
2024-01-15,14
2024-01-16,13
2024-01-17,14
2024-01-18,13
2024-01-19,14
2024-01-20,14
2024-01-21,14
2024-01-22,14
2024-01-23,13
2024-01-24,14
2024-01-25,13
2024-01-26,13
2024-01-27,13
2024-01-28,13
2024-01-29,14
2024-01-30,14
2024-01-31,14
2024-02-01,14
2024-02-02,13
2024-02-03,14
2024-02-04,14
2024-02-05,14
2024-02-06,14
2024-02-07,14
2024-02-08,15
2024-02-09,14
2024-02-10,14
2024-02-11,14
2024-02-12,14
2024-02-13,14
2024-02-14,14
2024-02-15,13
2024-02-16,13
2024-02-17,14
2024-02-18,13
2024-02-19,13
2024-02-20,14
2024-02-21,13
2024-02-22,14
2024-02-23,13
2024-02-24,14
2024-02-25,14
2024-02-26,13
2024-02-27,14
2024-02-28,13
2024-02-29,13
2024-03-01,13
2024-03-02,13
2024-03-03,14
2024-03-04,13
2024-03-05,14
2024-03-06,13
2024-03-07,13
2024-03-08,14
2024-03-09,13
2024-03-10,14
2024-03-11,13
2024-03-12,14
2024-03-13,13
2024-03-15,13
2024-03-16,14
2024-03-17,13
2024-03-18,13
2024-03-19,14
2024-03-20,14
2024-03-21,13
2024-03-22,13
2024-03-23,14
2024-03-24,14
2024-03-25,13
2024-03-26,14
2024-03-27,14
2024-03-28,14
2024-03-29,14
2024-03-30,14
2024-03-31,14
2024-04-01,13
2024-04-02,13
2024-04-03,13
2024-04-04,13
2024-04-05,14
2024-04-06,13
2024-04-07,14
2024-04-08,14
2024-04-09,13
2024-04-10,14
2024-04-11,14
2024-04-12,13
2024-04-13,13
2024-04-14,14
2024-04-15,13
2024-04-16,13
2024-04-17,13
2024-04-18,13
2024-04-19,13
2024-04-20,13
2024-04-21,14
2024-04-22,13
2024-04-23,13
2024-04-25,14
2024-04-26,12
2024-04-27,14
2024-04-28,14
2024-04-29,13
2024-04-30,13
2024-05-01,14
2024-05-02,14
2024-05-03,14
2024-05-04,14
2024-05-05,14
2024-05-06,13
2024-05-07,14
2024-05-08,14
2024-05-09,13
2024-05-10,14
2024-05-11,14
2024-05-12,13
2024-05-13,13
2024-05-14,14
2024-05-15,14
2024-05-16,13
2024-05-17,14
2024-05-18,14
2024-05-19,13
2024-05-20,13
2024-05-21,14
2024-05-22,14
2024-05-23,13
2024-05-24,13
2024-05-25,14
2024-05-26,13
2024-05-27,14
2024-05-28,14
2024-05-29,13
2024-05-30,14
2024-05-31,14
2024-06-01,13
2024-06-02,14
2024-06-03,14
2024-06-04,14
2024-06-05,14
2024-06-06,13
2024-06-07,14
2024-06-08,13
2024-06-09,13
2024-06-10,13
2024-06-11,14
2024-06-12,14
2024-06-13,14
2024-06-14,13
2024-06-15,14
2024-06-16,13
2024-06-17,14
2024-06-18,13
2024-06-19,13
2024-06-20,13
2024-06-21,14
2024-06-22,13
2024-06-23,14
2024-06-24,13
2024-06-25,13
2024-06-26,14
2024-06-27,13
2024-06-28,14
2024-06-29,13
2024-06-30,13
2024-07-01,13
2024-07-02,14
2024-07-03,13
2024-07-04,13
2024-07-05,14
2024-07-06,14
2024-07-07,14
2024-07-08,13
2024-07-09,13
2024-07-10,13
2024-07-11,13
2024-07-12,13
2024-07-13,14
2024-07-14,13
2024-07-15,13
2024-07-16,14
2024-07-17,13
2024-07-18,14
2024-07-19,13
2024-07-20,13
2024-07-21,14
2024-07-22,14
2024-07-23,14
2024-07-24,14
2024-07-25,13
2024-07-26,14
2024-07-27,14
2024-07-28,13
2024-07-29,13
2024-07-30,14
2024-07-31,14
2024-08-01,14
2024-08-02,13
2024-08-03,13
2024-08-04,14
2024-08-05,14
2024-08-06,13
2024-08-07,13
2024-08-08,13
2024-08-09,13

2024-08-10,13
2024-08-11,14
2024-08-12,13
2024-08-13,14
2024-08-14,13
2024-08-15,13
2024-08-16,13
2024-08-17,14
2024-08-18,14
2024-08-19,14
2024-08-20,13
2024-08-21,13
2024-08-22,13
2024-08-23,13
2024-08-24,13
2024-08-25,13
2024-08-26,14
2024-08-27,13
2024-08-28,13
2024-08-29,13
2024-08-30,13
2024-08-31,14
2024-09-01,13
2024-09-02,13
2024-09-03,13
2024-09-04,13
2024-09-05,13
2024-09-06,14
2024-09-07,13
2024-09-08,14
2024-09-09,14
2024-09-10,14
2024-09-11,13
2024-09-12,14
2024-09-14,13
2024-09-15,14
2024-09-16,13
2024-09-17,13
2024-09-18,13
2024-09-19,14
2024-09-20,14
2024-09-21,14
2024-09-22,14
2024-09-23,14
2024-09-24,14
2024-09-25,13
2024-09-26,14
2024-09-27,13
2024-09-28,16
2024-09-29,20
2024-09-30,16
2024-10-01,16
2024-10-02,16
2024-10-03,15
2024-10-04,15
2024-10-05,14
2024-10-06,14
2024-10-07,14